Description Size Speed Range Firepower Cargo
350r 1 9 2 3 0
Avenger 2 5 4 3 2
Carrack 6 2 10 4 6
Constellation 4 5 7 3 4
Hawk 1 3 2 4 0
Hornet 2 5 3 4 1
Hurricane 2 5 3 5 0
Idris 8 2 7 10 6
m50 1 10 2 2 0
Merchantman 7 3 5 6 8
Orion 10 1 6 2 9
Sabre 2 7 2 5 0
Vanguard 3 4 5 5 2
Torment 1 9 2 3 0
Verdant 2 5 4 3 2
Navigator 6 2 10 4 6
Priestess 4 5 7 3 4
Rhino 1 3 2 4 0
Icarus 2 5 3 4 1
Carthage 2 5 3 5 0
Ingenuity 8 2 7 10 6
Harbinger 1 10 2 2 0
Raven 7 3 5 6 8
Promise 10 1 6 2 9
Elba 2 7 2 5 0
Spider 3 4 5 5 2
Knosses 1 9 2 3 0
Ravager 2 5 4 3 2
Chimera 6 2 10 4 6
Mercenary 4 5 7 3 4
Messenger 1 3 2 4 0
Conquistador 2 5 3 4 1
Avadora 2 5 3 5 0
Serentiy 8 2 7 10 6
Unicorn 1 10 2 2 0
Constantine 7 3 5 6 8
Zeus 10 1 6 2 9
Intruder 2 7 2 5 0
Executor 3 4 5 5 2
Infinity 2 5 4 3 2
